Japanese,English
の,of
に,On
する,do
は,teeth
を,of
が,But
と,When
年,year
で,so
だ,is
月,moon
も,and
から,from
日,Day
成る,Become
こと,thing
有る,Have
よる,evening
や,or
など,Such
言う,To tell
日本,Japan
為,for
この,this
人,people
その,That
まで,to
もの,thing
へ,What
又,again
これ,this
行う,conduct
よう,So
出来る,Be ready
駅,station
国,country
より,Than
大学,the University
現在,Now
後,rear
か,mosquito
線,Wire
ぬ,Lantern
放送,broadcast
号,No
軍,military
無い,No
部,department
持つ,Hold
所,Place
名,name
回,times
世界,world
時,Time
戦,War
時代,era
東京,Tokyo
おく,back
でも,but
呼ぶ,Call
その後,afterwards
会,meeting
それ,that
機,machine
会う,meet
受ける,receive
多い,many
選手,player
場合,case
対する,Vain
しかし,But
つく,arrive
昭和,Showa
作品,work
地,land
中,middle
使用,use
共に,both
学校,School
語,word
彼,he
行く,go
アメリカ,America
当時,at that time
番組,program
車,car
社,Shrine
川,river
映画,movie
位,Position
見る,look
テレビ,tv set
系,system
研究,Research
町,town
東,East
存在,exist
活動,Activity
発売,Release
他,he
出身,where one is from
年代,Era
会社,company
権,Right
開発,development
分,Minute
西,oo
鉄道,Railway
法,Law
局,Bureau
更に,Further
のみ,only
間,between
山,Mountain
式,Mode
島,island
なお,note that
可能,possible
ドイツ,Germany
代表,represent
使う,use
同じ,same
曲,song
地域,area
作,do
事,case
版,Version
取る,take
登場,Appearance
チーム,team
世,world
時間,time
於ける,In
中心,center
大会,Conference
多く,Many
南,South
シリーズ,series
賞,award
北,north
開始,start
フランス,France
一部,One
始める,start
平成,Heisei
知る,know
子,Child
ゲーム,game
道,road
角,horn
用いる,Use
および,and
館,Museum
場,field
体,body
世紀,century
音楽,music
参加,Participation
発表,Presentation
記録,record
掛ける,Put on
高い,high
利用,use
際,edge
出場,Participation
国際,international
リーグ,league
所属,Affiliation
務める,serve
関係,relationship
考える,think
イギリス,England
生まれる,to be born
入る,come in
度,Every time
州,State
全て,all
明治,Meiji
生,pregnancy
点,point
力,force
良い,good
だけ,only
王,king
試合,game
得る,obtain
優勝,win
都市,City
含む,include
アルバム,album
込む,In
問題,question
シーズン,Season
開催,hold
大阪,Osaka
位置,Location
監督,directed by
上,superior
主,host
設置,set up